idx,task_id,template_id,reward,judge,nc,n,steps
0,21,222,0,1,1,1,3
1,22,222,0,0,0,1,0
2,23,222,0,1,1,1,2
3,24,222,0,0,0,1,0
4,25,222,0,1,1,1,3
5,26,222,0,1,1,1,3
6,47,197,0,0,0,1,0
7,48,197,0,0,0,1,0
8,49,197,0,0,0,1,0
9,50,197,0,0,0,1,0
10,51,197,0,0,0,1,0
11,96,193,0,0,0,1,0
12,117,161,0,0,0,1,0
13,118,151,0,0,0,1,2
14,124,159,0,0,0,1,5
15,125,159,0,0,0,1,6
16,126,159,1,0,0,1,4
17,141,162,0,0,0,1,20
18,142,162,0,0,0,1,9
19,143,162,0,0,0,1,20
20,144,162,0,0,0,1,20
21,145,162,0,0,0,1,20
22,146,155,0,0,0,1,20
23,147,155,0,0,0,1,20
24,148,155,0,0,0,1,20
